,서울 인구,부산 인구,대구 인구,인천 인구,광주 인구,대전 인구,울산 인구,세종 인구,경기 인구,강원 인구,충북 인구,충남 인구,전북 인구,전남 인구,경북 인구,경남 인구,제주 인구,gdp,consumer_price_index
'20.03,9733655,3409932,2433568,2952689,1455705,1471858,1144563,344792,13288975,1538577,1597639,2119749,1812936,1859290,2653418,3355341,670508,1940726.2,100.0
'20.04,9726787,3408347,2431523,2950972,1456096,1471650,1144098,345216,13311254,1537780,1596613,2118457,1811619,1857083,2651054,3353380,670595,1940726.2,100.0
'20.05,9724496,3406942,2429059,2950063,1455533,1471915,1143148,345373,13324041,1538639,1596710,2118510,1810097,1855945,2648760,3351347,670793,1940726.2,100.0
'20.06,9720846,3404423,2427954,2947217,1455048,1471040,1142190,345341,13338020,1539282,1597593,2119771,1808802,1854618,2646493,3349454,671316,1940726.2,100.0
'20.07,9715429,3402776,2428022,2945565,1454709,1470225,1141362,346217,13351891,1540094,1597936,2120692,1808044,1853339,2644001,3347637,671913,1940726.2,100.0
'20.08,9708247,3401072,2428228,2943491,1454154,1469431,1140310,347232,13370714,1540689,1598162,2120519,1807094,1851985,2640932,3345169,672524,1940726.2,100.0
'20.09,9699232,3399749,2426849,2942553,1453952,1469099,1139368,348014,13388485,1541104,1598536,2120559,1806441,1851124,2640003,3343770,672948,1940726.2,100.0
'20.10,9689159,3397598,2424171,2942233,1452994,1467556,1138581,351007,13400615,1541836,1599102,2120347,1805937,1850680,2639763,3342831,673606,1940726.2,100.0
'20.11,9679771,3395514,2421859,2942307,1451993,1465893,1137345,353430,13413459,1542374,1599680,2120607,1805204,1850557,2639245,3341063,674001,1940726.2,100.0
'20.12,9668465,3391946,2418346,2942828,1450062,1463882,1136017,355831,13427014,1542840,1600837,2121029,1804104,1851549,2639422,3340216,674635,1940726.2,100.0
'21.01,9657969,3389388,2415813,2942452,1449115,1463291,1135370,357871,13449499,1541696,1599658,2119837,1802748,1850575,2637639,3338396,674615,2071658.0,102.5
'21.02,9648606,3387761,2413191,2941705,1447953,1462064,1132953,359569,13471758,1540875,1599122,2119542,1801319,1849795,2636747,3336045,675137,2071658.0,102.5
'21.03,9598484,3372399,2408875,2936461,1445473,1458463,1129254,360462,13465837,1536399,1595714,2115823,1797450,1844811,2635563,3330463,673974,2071658.0,102.5
'21.04,9588711,3369704,2406296,2936214,1444787,1457619,1128163,361396,13479798,1536175,1596303,2116452,1796331,1844148,2635896,3329623,674484,2071658.0,102.5
'21.05,9575355,3367334,2402940,2936382,1443154,1457161,1127175,362036,13488910,1535491,1596955,2117260,1794682,1842423,2633592,3327298,674877,2071658.0,102.5
'21.06,9565990,3364358,2397646,2936367,1442647,1456107,1126369,362995,13500688,1535530,1597503,2117400,1794345,1840921,2632401,3325840,675293,2071658.0,102.5
'21.07,9558153,3361781,2395749,2937440,1442482,1455300,1125727,364364,13512867,1536140,1597501,2118205,1793902,1839698,2631649,3324735,675876,2071658.0,102.5
'21.08,9550227,3359527,2393626,2938429,1441970,1454679,1124459,365309,13530519,1536270,1597179,2118183,1792476,1838353,2630254,3322373,675883,2071658.0,102.5
'21.09,9542256,3358763,2392787,2941795,1442827,1455058,1123236,366560,13542284,1536765,1596765,2118098,1791110,1835690,2628344,3319271,676079,2071658.0,102.5
'21.10,9532428,3356311,2390721,2945009,1442454,1454228,1122566,368276,13549577,1537717,1596948,2118977,1789770,1834653,2627925,3318161,676569,2071658.0,102.5
'21.11,9520880,3353627,2388230,2946319,1442138,1453675,1122495,369465,13557973,1538273,1597019,2119529,1788616,1833864,2627468,3316365,676768,2071658.0,102.5
'21.12,9509458,3350380,2385412,2948375,1441611,1452251,1121592,371895,13565450,1538492,1597427,2119257,1786855,1832803,2626609,3314183,676759,2071658.0,102.5
